scenario_id,scenario_type,forecast_origin,horizon,rul_lead_horizon,model_family,model_name,capacity_mae,capacity_rmse,capacity_smape,soh_mae,soh_rmse,soh_smape,n
eol_o516_lead30_h34,eol_crossing,516,34,30.0,foundation_model,TimesFM_2p5_200M,0.020748531480401494,0.029894565910447424,2.2621108926134252,0.018257768603877466,0.026305864943833177,2.2621108926134257,34
eol_o516_lead30_h34,eol_crossing,516,34,30.0,foundation_model,ChronosBolt_Base,0.01482598017523991,0.024436373392808106,1.631521618237322,0.01304620594494028,0.021502912506652223,1.6315233751727842,34
eol_o526_lead20_h24,eol_crossing,526,24,20.0,foundation_model,TimesFM_2p5_200M,0.01100500856872109,0.01275045063479381,1.1959719837990233,0.00968390944299787,0.011219819460722784,1.1959719837990246,24
eol_o526_lead20_h24,eol_crossing,526,24,20.0,foundation_model,ChronosBolt_Base,0.007083129887001789,0.008325434942206519,0.7715044313488217,0.006232851286605834,0.007326030490534365,0.7715065970200559,24
eol_o536_lead10_h14,eol_crossing,536,14,10.0,foundation_model,TimesFM_2p5_200M,0.011346351152376652,0.012763840554635243,1.2384005746625135,0.00998427546711477,0.011231601984142343,1.2384005746625122,14
eol_o536_lead10_h14,eol_crossing,536,14,10.0,foundation_model,ChronosBolt_Base,0.009728255345709869,0.010996912383767848,1.062910421623721,0.008560450904040309,0.00967681480461283,1.0629136913231851,14
pre_01_o182_h10,pre_eol_rolling,182,10,,foundation_model,TimesFM_2p5_200M,0.002041456896968441,0.0030006897755550325,0.2010829868065802,0.001796389670991705,0.0026404711883274323,0.20108298680657993,10
pre_01_o182_h10,pre_eol_rolling,182,10,,foundation_model,ChronosBolt_Base,0.004118894937003859,0.004836516733045005,0.4059255593716623,0.0036244218572990873,0.004255886817136084,0.40592339384721515,10
pre_01_o182_h20,pre_eol_rolling,182,20,,foundation_model,TimesFM_2p5_200M,0.00647608103670585,0.008826149987106421,0.6397160636595349,0.005698658198524531,0.007766612508452437,0.639716063659535,20
pre_01_o182_h20,pre_eol_rolling,182,20,,foundation_model,ChronosBolt_Base,0.006475114799573234,0.008151623594893003,0.6411348308407488,0.00569778581531582,0.007173040353457144,0.6411323283186264,20
pre_01_o182_h30,pre_eol_rolling,182,30,,foundation_model,TimesFM_2p5_200M,0.007851888823641998,0.011665215065944484,0.7709492232793557,0.006909306780619121,0.010264861278961155,0.7709492232793562,30
pre_01_o182_h30,pre_eol_rolling,182,30,,foundation_model,ChronosBolt_Base,0.015614410849037252,0.02274895572125529,1.5328091234557844,0.013739947625176866,0.0200180272667635,1.5328060427447154,30
pre_02_o292_h10,pre_eol_rolling,292,10,,foundation_model,TimesFM_2p5_200M,0.004862060152879622,0.006131893284996377,0.49538781770701146,0.0042783928729249856,0.005395788555295278,0.4953878177070127,10
pre_02_o292_h10,pre_eol_rolling,292,10,,foundation_model,ChronosBolt_Base,0.005573916711757931,0.006134733057368197,0.5681270266827542,0.004904803329622565,0.0053982863507123086,0.5681280547609431,10
pre_02_o292_h20,pre_eol_rolling,292,20,,foundation_model,TimesFM_2p5_200M,0.0045379778677980594,0.005911550359625678,0.46290300762424813,0.003993215130335131,0.005201896753905863,0.4629030076242472,20
pre_02_o292_h20,pre_eol_rolling,292,20,,foundation_model,ChronosBolt_Base,0.00552846121210897,0.006401993551308773,0.5639416898899802,0.004864789788058316,0.005633455319852216,0.5639410071075095,20
pre_02_o292_h30,pre_eol_rolling,292,30,,foundation_model,TimesFM_2p5_200M,0.0032001160650980244,0.004838742243555786,0.32627336515070526,0.002815957296895873,0.004257874168111431,0.32627336515070376,30
pre_02_o292_h30,pre_eol_rolling,292,30,,foundation_model,ChronosBolt_Base,0.004432619976649714,0.005502976525919507,0.4515778478877394,0.003900500301444872,0.004842360236075458,0.4515773042033115,30
pre_03_o403_h10,pre_eol_rolling,403,10,,foundation_model,TimesFM_2p5_200M,0.0009486230502844251,0.0011023669598227734,0.09632471599859621,0.0008347453486410195,0.0009700330304346975,0.09632471599859324,10
pre_03_o403_h10,pre_eol_rolling,403,10,,foundation_model,ChronosBolt_Base,0.0036878498683691418,0.0037991724544634248,0.3749577352612708,0.003245106283226773,0.0033430662370789086,0.3749537204175165,10
pre_03_o403_h20,pre_eol_rolling,403,20,,foundation_model,TimesFM_2p5_200M,0.005319001326019724,0.007567333479314899,0.5373191704341989,0.0046804804236827815,0.006658910956865108,0.5373191704341967,20
pre_03_o403_h20,pre_eol_rolling,403,20,,foundation_model,ChronosBolt_Base,0.004394704986689213,0.005371048970941728,0.4445945670006597,0.003867110189001577,0.004726253540853519,0.44459096172116,20
pre_03_o403_h30,pre_eol_rolling,403,30,,foundation_model,TimesFM_2p5_200M,0.005720419350937197,0.007540286046508205,0.577976304161783,0.005033710117036827,0.006635110440188549,0.5779763041617824,30
pre_03_o403_h30,pre_eol_rolling,403,30,,foundation_model,ChronosBolt_Base,0.00412611243886758,0.0050474225479126885,0.41724957428252224,0.0036307733429087143,0.004441485159917898,0.4172474020136197,30
pre_04_o515_h10,pre_eol_rolling,515,10,,foundation_model,TimesFM_2p5_200M,0.027174556468827327,0.057295247624296025,3.0996456503221785,0.023912379745501422,0.050417224670303025,3.099645650322181,10
pre_04_o515_h10,pre_eol_rolling,515,10,,foundation_model,ChronosBolt_Base,0.03105029981026767,0.057738823352052486,3.5113545426351487,0.027322894284318743,0.05080756981717072,3.511358853018841,10
pre_04_o515_h20,pre_eol_rolling,515,20,,foundation_model,TimesFM_2p5_200M,0.01935489786327791,0.04151713189160586,2.169570285091619,0.017031434098032504,0.03653319695852199,2.169570285091622,20
pre_04_o515_h20,pre_eol_rolling,515,20,,foundation_model,ChronosBolt_Base,0.02542530558765561,0.043297223379786115,2.814026194254114,0.022373153525186207,0.03809961747653372,2.814030448613134,20
pre_04_o515_h30,pre_eol_rolling,515,30,,foundation_model,TimesFM_2p5_200M,0.019779085076820024,0.03606589334655637,2.1883217550082694,0.01740469964682042,0.031736353767279166,2.188321755008272,30
pre_04_o515_h30,pre_eol_rolling,515,30,,foundation_model,ChronosBolt_Base,0.02391824386613498,0.03745477432263396,2.6276804293509577,0.02104700851133081,0.032958528843041464,2.6276848264543795,30
eol_o516_lead30_h34,eol_crossing,516,34,30.0,deep_learning,NHITS,0.012857395780001609,0.024166821418964,1.4172360987793482,0.011313926348063538,0.021265709034658704,1.4172360987793498,34
eol_o516_lead30_h34,eol_crossing,516,34,30.0,deep_learning,PatchTST,0.026110062542682694,0.03128236619864322,2.8916896772733045,0.022975673270532807,0.027527066384243883,2.891689677273305,34
eol_o526_lead20_h24,eol_crossing,526,24,20.0,deep_learning,NHITS,0.010747394874309998,0.013101781837123022,1.1671260461927946,0.009457221051764464,0.011528975017177841,1.1671260461927953,24
eol_o526_lead20_h24,eol_crossing,526,24,20.0,deep_learning,PatchTST,0.006728733884748687,0.008203273803734215,0.7327439740358953,0.005920981269486633,0.007218509659071586,0.7327439740358952,24
eol_o536_lead10_h14,eol_crossing,536,14,10.0,deep_learning,NHITS,0.015552226909993092,0.019818276132881476,1.689793597748876,0.01368525577175719,0.017439186002328865,1.689793597748877,14
eol_o536_lead10_h14,eol_crossing,536,14,10.0,deep_learning,PatchTST,0.0074269688808128774,0.008122171206394897,0.811959117621696,0.006535396463222677,0.007147143044196057,0.8119591176216961,14
pre_01_o182_h10,pre_eol_rolling,182,10,,deep_learning,NHITS,0.01722467706989832,0.020281867491015747,1.713603220466119,0.015156936215739936,0.017847125414887664,1.7136032204661182,10
pre_01_o182_h10,pre_eol_rolling,182,10,,deep_learning,PatchTST,0.020668366879486654,0.022846976182950358,2.0572664261521005,0.018187227383400794,0.020104304964455956,2.057266426152096,10
pre_01_o182_h20,pre_eol_rolling,182,20,,deep_learning,NHITS,0.024587886251551082,0.03877570142673173,2.508537121195713,0.021636227029528214,0.03412086222926317,2.5085371211957144,20
pre_01_o182_h20,pre_eol_rolling,182,20,,deep_learning,PatchTST,0.025679718396051144,0.02716783095215948,2.572338777364236,0.02259698989929499,0.023906461595237148,2.5723387773642337,20
pre_01_o182_h30,pre_eol_rolling,182,30,,deep_learning,NHITS,0.0335547805886832,0.045121757565670724,3.3654485928914473,0.029526688195775974,0.039705104402807195,3.3654485928914473,30
pre_01_o182_h30,pre_eol_rolling,182,30,,deep_learning,PatchTST,0.037428770384114934,0.04362055421027526,3.734194745581268,0.03293562387517985,0.03838411339599478,3.7341947455812674,30
pre_02_o292_h10,pre_eol_rolling,292,10,,deep_learning,NHITS,0.014523018177288804,0.018733632386387533,1.464843395179136,0.012779598669973646,0.016484748597453507,1.4648433951791362,10
pre_02_o292_h10,pre_eol_rolling,292,10,,deep_learning,PatchTST,0.004053181499408254,0.005277544478557869,0.41275170952727164,0.003566616268511025,0.0046440002742939345,0.41275170952727225,10
pre_02_o292_h20,pre_eol_rolling,292,20,,deep_learning,NHITS,0.010859005900227415,0.013198477387059563,1.1010053773171486,0.009555433702947324,0.01161406272458659,1.1010053773171473,20
pre_02_o292_h20,pre_eol_rolling,292,20,,deep_learning,PatchTST,0.004275597075471404,0.005832038922719947,0.43588819680519564,0.003762331908699562,0.005131930288194394,0.4358881968051945,20
pre_02_o292_h30,pre_eol_rolling,292,30,,deep_learning,NHITS,0.010478990826310408,0.012402886133708543,1.066154805735994,0.009221037637755159,0.010913978430877786,1.0661548057359926,30
pre_02_o292_h30,pre_eol_rolling,292,30,,deep_learning,PatchTST,0.004642287592014327,0.0061878006140377645,0.47241368855718324,0.004085002966485066,0.005444984474431148,0.4724136885571823,30
