scenario_type,model_name,coverage,mean_interval_width,below_q10_rate,above_q90_rate
eol_crossing,ChronosBolt_Base,0.9583333333333334,0.05527700897720125,0.027777777777777776,0.013888888888888888
eol_crossing,NHITS,0.25,0.015033394926124148,0.5694444444444444,0.18055555555555555
eol_crossing,PatchTST,0.9444444444444444,0.05271979669729868,0.013888888888888888,0.041666666666666664
eol_crossing,TimesFM_2p5_200M,0.9861111111111112,0.05785468882984585,0.013888888888888888,0.0
pre_eol_rolling,ChronosBolt_Base,0.8208333333333333,0.034936012824376424,0.125,0.05416666666666667
pre_eol_rolling,NHITS,0.2375,0.007343887786070506,0.2875,0.475
pre_eol_rolling,PatchTST,0.5041666666666667,0.01871278981367747,0.15,0.3458333333333333
pre_eol_rolling,TimesFM_2p5_200M,0.9375,0.051184142877658205,0.0375,0.025
