scenario_type,target_name,model_name,scenario_count,target_mae,target_rmse,target_smape,raw_capacity_mae,raw_capacity_rmse,raw_capacity_smape
eol_crossing,capacity_raw,RandomForestRegressor,3,0.007789618906161341,0.012812922732385804,0.0085587869835937,0.007789618906161341,0.012812922732385804,0.0085587869835937
eol_crossing,capacity_ewm_span_9,RandomForestRegressor,3,0.00828111370233108,0.009616098481301903,0.008986422367935301,0.011487512625104446,0.016133671424371557,0.0125697465785844
eol_crossing,capacity_raw,MovingAverage,3,0.011642816492978587,0.01595562209343711,0.012739654602160326,0.011642816492978587,0.01595562209343711,0.012739654602160326
eol_crossing,capacity_ewm_span_9,MovingAverage,3,0.009823731617838652,0.011118675514198843,0.010649972073272741,0.012503008813821784,0.01700839224711281,0.013662847588698486
eol_crossing,capacity_ewm_span_9,Persistence,3,0.007745617313452792,0.009140403689367206,0.008428388536433096,0.012692215869479252,0.01641378499997508,0.013886118162661061
eol_crossing,capacity_roll_median_7,RandomForestRegressor,3,0.010778589623302116,0.012983265887720837,0.01168510813599539,0.014429225684522028,0.019487431519274213,0.01573962707117439
eol_crossing,capacity_roll_median_7,Persistence,3,0.011791292091655713,0.014125955465342252,0.012754983257973487,0.015608258341923247,0.020144755139228802,0.0169889478259618
eol_crossing,capacity_roll_median_7,MovingAverage,3,0.013804761342544157,0.015805490309541873,0.014932584465321348,0.017235355955116854,0.021911326993669128,0.018751217068531032
eol_crossing,capacity_raw,RidgeRegression,3,0.020939971545348476,0.024884262704460782,0.02271320114124054,0.020939971545348476,0.024884262704460782,0.02271320114124054
eol_crossing,capacity_ewm_span_9,RidgeRegression,3,0.01843020197025896,0.01981115535923672,0.01986509674775052,0.02121964138126269,0.025485577498199134,0.023006630407322703
eol_crossing,capacity_roll_median_7,RidgeRegression,3,0.019769427512459945,0.021739898721982346,0.021298139260801766,0.02335946646254179,0.027300286724757067,0.025286418921611997
eol_crossing,capacity_raw,Persistence,3,0.04541344876737575,0.04727677174421291,0.05182392543815711,0.04541344876737575,0.04727677174421291,0.05182392543815711
pre_eol_rolling,capacity_raw,Persistence,12,0.009600850248677418,0.016453861022130097,0.010305006375466932,0.009600850248677418,0.016453861022130097,0.010305006375466932
pre_eol_rolling,capacity_roll_median_7,Persistence,12,0.004126849441235846,0.005504455191614095,0.00422953323216766,0.010044093845573166,0.01673173319127157,0.010751230498040444
pre_eol_rolling,capacity_roll_median_7,RandomForestRegressor,12,0.005055442969044844,0.006267613680214596,0.005121952186974103,0.010152047028622152,0.017340427022347695,0.01080413916832279
pre_eol_rolling,capacity_roll_median_7,MovingAverage,12,0.007202838939958163,0.008238335120845205,0.007311996101881865,0.011807062812948929,0.01852748397721343,0.012481482010443343
pre_eol_rolling,capacity_ewm_span_9,Persistence,12,0.009248715153771523,0.010306084420070635,0.009611143288542007,0.01235733427179845,0.019175139806293626,0.013036302403007132
pre_eol_rolling,capacity_raw,MovingAverage,12,0.012831185451266318,0.019680999933966385,0.01350258235562322,0.012831185451266318,0.019680999933966385,0.01350258235562322
pre_eol_rolling,capacity_ewm_span_9,RandomForestRegressor,12,0.010726673406340327,0.011779865507039343,0.011093566230751722,0.013266094341353002,0.020367329551043225,0.013942694188502365
pre_eol_rolling,capacity_ewm_span_9,MovingAverage,12,0.011513852030903724,0.012472419478971016,0.011872048171803208,0.014238466542628425,0.021199793183623906,0.014919277203717607
pre_eol_rolling,capacity_raw,RandomForestRegressor,12,0.016684726973730662,0.024096623418633323,0.017439552951429245,0.016684726973730662,0.024096623418633323,0.017439552951429245
pre_eol_rolling,capacity_roll_median_7,RidgeRegression,12,0.014186437864191844,0.015253776476367213,0.014483081031662052,0.01842010265553638,0.02464054716205251,0.01929996083437115
pre_eol_rolling,capacity_ewm_span_9,RidgeRegression,12,0.017526210546196994,0.018261323039025543,0.018106418815949075,0.020050610498566022,0.026128071194779973,0.02093634750929883
pre_eol_rolling,capacity_raw,RidgeRegression,12,0.02016048424362843,0.026167282207133272,0.021049199595476745,0.02016048424362843,0.026167282207133272,0.021049199595476745
