scenario_id,scenario_type,target_name,target_col,model_name,forecast_origin,horizon,target_mae,target_rmse,target_smape,raw_capacity_mae,raw_capacity_rmse,raw_capacity_smape,includes_eol,true_eol_cycle,true_rul
eol_o516_lead30_h34,eol_crossing,capacity_raw,capacity_raw,Persistence,516,34,0.1099070907882901,0.11207559247730636,0.12682673348953524,0.1099070907882901,0.11207559247730636,0.12682673348953524,True,546,30
eol_o516_lead30_h34,eol_crossing,capacity_raw,capacity_raw,MovingAverage,516,34,0.012673489500929854,0.022464505747874047,0.01397663086430365,0.012673489500929854,0.022464505747874047,0.01397663086430365,True,546,30
eol_o516_lead30_h34,eol_crossing,capacity_raw,capacity_raw,RidgeRegression,516,34,0.021415610464272893,0.029766881595745504,0.023326472907018645,0.021415610464272893,0.029766881595745504,0.023326472907018645,True,546,30
eol_o516_lead30_h34,eol_crossing,capacity_raw,capacity_raw,RandomForestRegressor,516,34,0.011229107288734644,0.022720122490308275,0.012414661498601206,0.011229107288734644,0.022720122490308275,0.012414661498601206,True,546,30
eol_o516_lead30_h34,eol_crossing,capacity_ewm_span_9,capacity_ewm_span_9,Persistence,516,34,0.009263283169298671,0.010621507012794507,0.010099720697642176,0.015522761725772409,0.023325882549652455,0.017091382612666614,True,546,30
eol_o516_lead30_h34,eol_crossing,capacity_ewm_span_9,capacity_ewm_span_9,MovingAverage,516,34,0.013509247795984313,0.01523850185358828,0.014610755684267743,0.01545318769310996,0.02604207725402995,0.016965295656362865,True,546,30
eol_o516_lead30_h34,eol_crossing,capacity_ewm_span_9,capacity_ewm_span_9,RidgeRegression,516,34,0.022774240710088222,0.023784320708162155,0.024486682350597835,0.02311678996224799,0.03201233149742342,0.025127473686389873,True,546,30
eol_o516_lead30_h34,eol_crossing,capacity_ewm_span_9,capacity_ewm_span_9,RandomForestRegressor,516,34,0.011598524125525351,0.01373417972808731,0.0125606830477344,0.014044877059663468,0.02500153681607333,0.01545429658606844,True,546,30
eol_o516_lead30_h34,eol_crossing,capacity_roll_median_7,capacity_roll_median_7,Persistence,516,34,0.013067987736706602,0.016653944664147713,0.01408494653698535,0.019056773832616926,0.029145808191734957,0.020813101534482976,True,546,30
eol_o516_lead30_h34,eol_crossing,capacity_roll_median_7,capacity_roll_median_7,MovingAverage,516,34,0.010756215684289527,0.014063370184449647,0.011617683285455697,0.016266668767672427,0.026977066628217104,0.01783578604128004,True,546,30
