experiment_name,model_family,primary_target,model_name,capacity_mae,capacity_rmse,capacity_smape,soh_mae,soh_rmse,soh_smape,n,train_end_cycle
post_eol_75_split,baseline,capacity_ah,LinearTrend,0.03089644392806753,0.03604288488078065,6.016708050013615,0.027187472253357582,0.03171610735878224,6.016708050013617,217,657
post_eol_75_split,baseline,capacity_ah,Persistence,0.2129455296063417,0.2571126860070443,32.59138515455377,0.18738242793014717,0.226247526513967,32.59138515455376,217,657
post_eol_75_split,baseline,capacity_ah,MovingAverage,0.2551149913313134,0.2929928216328989,37.39385155744475,0.22448964561694335,0.2578204218946052,37.39385155744474,217,657
pre_eol_70_split,baseline,capacity_ah,MovingAverage,0.02836596884079675,0.040093237686630596,2.9701395987275303,0.024960768708342542,0.03528023450499141,2.970139598727534,163,381
pre_eol_70_split,baseline,capacity_ah,Persistence,0.028658777574000798,0.04045487362248678,2.9998837331873283,0.02521842714075176,0.03559845776054784,2.9998837331873274,163,381
pre_eol_70_split,baseline,capacity_ah,LinearTrend,0.05052810364652116,0.06545415200575536,5.183007501069424,0.0444624442574318,0.05759669124597625,5.183007501069424,163,381
