scenario_type,model_family,model_name,capacity_mae_mean,capacity_mae_std,capacity_rmse_mean,capacity_smape_mean,fold_count
eol_crossing,machine_learning,RidgeRegression,0.0069260891604714285,0.001791990644855098,0.011836414619614375,0.7621867323146022,3
eol_crossing,machine_learning,RandomForestRegressor,0.009202969778584686,0.0038812625585782448,0.012958200919361736,1.0096723245134385,3
eol_crossing,baseline,MovingAverage,0.0116729883737252,0.0027621106791687953,0.01615267684277765,1.2771009215859312,3
eol_crossing,baseline,LinearTrend,0.02254331592274995,0.017504555128888096,0.024265812892230457,2.4862462233719786,3
eol_crossing,baseline,Persistence,0.04541344876737575,0.05585985840165191,0.04727677174421291,5.182392543815711,3
pre_eol_rolling,baseline,Persistence,0.009600850248677418,0.008483078013390852,0.016453861022130097,1.0305006375466932,12
pre_eol_rolling,machine_learning,RandomForestRegressor,0.013498149372581945,0.009483008282550588,0.020633236765242192,1.422243048665374,12
pre_eol_rolling,baseline,LinearTrend,0.013673769626834644,0.008072932978793674,0.020786410918421747,1.4392631727127734,12
pre_eol_rolling,baseline,MovingAverage,0.01404298783840128,0.00780116568097974,0.02103608043060573,1.4724108445189488,12
pre_eol_rolling,machine_learning,RidgeRegression,0.024442839394024793,0.014859385696910095,0.03253671403631867,2.537006347710808,12
