station_type,site_code,site_name,survey_location,address,agency,major_basin,mid_basin,lat,lon,coord_source
호소,1003G20,충주호,청풍교,청풍교,원주지방환경청,한강,충주댐,37.003672,128.179714,precise
호소,1003G30,충주호,황강나루,황강나루,원주지방환경청,한강,충주댐,37.003672,128.179714,precise
호소,1003G40,충주호,댐앞,댐앞,원주지방환경청,한강,충주댐,37.003672,128.179714,precise
호소,1006G30,횡성호,취수탑,취수탑,원주지방환경청,한강,섬강,37.543056,128.088333,precise
조류관찰지점,1007A20,강천보,강천,보 상류 500m,한강물환경연구소,한강,남한강하류,37.272528,127.686917,precise
조류관찰지점,1007A27,여주보,대신,보 상류 500m,한강물환경연구소,한강,남한강하류,37.322444,127.61325,precise
조류관찰지점,1007A60,이포보,이포,보 상류 500m,한강물환경연구소,한강,남한강하류,37.401611,127.539694,precise
호소,1007G20,한강,이천,이천,한강물환경연구소,한강,남한강하류,37.37940625,127.5312855,inherited
호소,1010G50,춘천호,용산취수장,용산취수장,국토교통부,한강,춘천댐,35.157539,129.152686,precise
호소,1010G60,춘천호,춘성교 교각,취수구3.6km,국토교통부,한강,춘천댐,35.157539,129.152686,precise
호소,1011G50,의암호,신연교,신연교,한강물환경연구소,한강,춘천댐,37.830403,127.67685,precise
호소,1017G20,팔당호,댐앞,댐앞,한강물환경연구소,한강,팔당댐,37.521042,127.285281,precise
호소,1017G21,팔당호,부용사앞,월계사,한강물환경연구소,한강,남한강하류,37.521042,127.285281,precise
호소,1017G22,팔당호,삼봉,삼봉리,한강물환경연구소,한강,청평댐,37.521042,127.285281,precise
호소,1018G01,한강,미사대교,강북,서울특별시 서울물연구원,한강,한강서울,37.5449,127.1128,inherited
호소,1018G02,한강,강동대교,암사,서울특별시 서울물연구원,한강,한강서울,37.5449,127.1128,inherited
호소,1018G03,한강,구의,구의,서울특별시 서울물연구원,한강,한강서울,37.5449,127.1128,precise
호소,1018G04,한강,잠실철교,자양,서울특별시 서울물연구원,한강,한강서울,37.5449,127.1128,inherited
호소,1018G05,한강,광진교,풍납,서울특별시 서울물연구원,한강,한강서울,37.5449,127.1128,inherited
호소,1018G06,한강,성수대교,성수대교,서울특별시 보건환경연구원,한강,한강서울,37.5449,127.1128,inherited
호소,1018G07,한강,한남대교,한남대교,서울특별시 보건환경연구원,한강,한강서울,37.5449,127.1128,inherited
호소,1018G08,한강,한강대교,한강대교,서울특별시 보건환경연구원,한강,한강서울,37.5449,127.1128,inherited
호소,1018G09,한강,마포대교,마포대교,서울특별시 보건환경연구원,한강,한강서울,37.5449,127.1128,inherited
호소,1018G10,한강,성산대교,성산대교,서울특별시 보건환경연구원,한강,한강서울,37.5449,127.1128,inherited
