연번,사고번호,접수지사,접수일자,접수요일,처리지사,사고일자,신고자 소속,주소,사고가스
1,N-2021-0005,본사,2021-01-01,금요일,부산북부지사,2021-01-01,소방서,부산 연제구 연산동,가스없음
2,N-2021-0004,본사,2021-01-01,금요일,서울남부지사,2021-01-01,사용자,서울 영등포구 대림동,LNG
3,N-2021-0003,본사,2021-01-01,금요일,경기동부지사,2021-01-01,기타,경기 광주시 쌍령동,프로판
4,N-2021-0002,본사,2021-01-01,금요일,경남서부지사,2021-01-01,사용자,경남 함양군 병곡면 도천리,프로판
5,N-2021-0001,본사,2021-01-01,금요일,전남서부지사,2020-12-31,사용자,전남 완도군 완도읍 가용리,프로판
6,N-2021-0008,본사,2021-01-02,토요일,경기북부지사,2021-01-02,사용자,경기 남양주시 오남읍 오남리 파라다이스빌,LNG
7,N-2021-0007,본사,2021-01-02,토요일,울산본부,2021-01-02,사용자,울산 울주군 상북면 궁근정리,기타
8,N-2021-0006,본사,2021-01-02,토요일,대구광역본부,2021-01-02,사용자,경북 김천시 평화동,프로판
9,N-2021-0012,본사,2021-01-03,일요일,경기북부지사,2021-01-03,사용자,경기 남양주시 오남읍 오남리,LNG
10,N-2021-0011,본사,2021-01-03,일요일,서울남부지사,2021-01-03,사용자,서울 구로구 신도림동,LNG
11,N-2021-0010,본사,2021-01-03,일요일,부산북부지사,2021-01-03,지역주민,부산 연제구 거제동,LNG
12,N-2021-0009,본사,2021-01-03,일요일,서울동부지사,2021-01-03,사용자,서울 성북구 돈암동,기타
13,N-2021-0018,본사,2021-01-04,월요일,제주본부,2021-01-04,소방서,제주 제주시 조천읍 조천리,프로판
14,N-2021-0017,본사,2021-01-04,월요일,전북본부,2021-01-04,인터넷,전북 익산시 오산면 남전리,프로판
15,N-2021-0016,본사,2021-01-04,월요일,경기중부지사,2021-01-04,사용자,경기 김포시 북변동,LNG
16,N-2021-0015,본사,2021-01-04,월요일,서울광역본부,2021-01-04,사용자,서울 강남구 삼성동,LNG
17,N-2021-0014,본사,2021-01-04,월요일,경기광역본부,2021-01-04,기타,경기 수원시 장안구 송죽동,LNG
18,N-2021-0013,본사,2021-01-04,월요일,광주광역본부,2021-01-04,사용자,광주 서구 화정동,LNG
19,N-2021-0020,본사,2021-01-05,화요일,경기동부지사,2021-01-05,소방서,경기 성남시 중원구 하대원동,부탄
20,N-2021-0019,본사,2021-01-05,화요일,서울남부지사,2021-01-05,소방서,서울 강서구 방화동,LNG
21,N-2021-0025,본사,2021-01-06,수요일,대전광역본부,2021-01-06,소방서,대전 유성구 지족동,프로판
22,N-2021-0024,본사,2021-01-06,수요일,경북동부지사,2021-01-06,기타,경북 경주시 탑동,가스없음
23,N-2021-0023,본사,2021-01-06,수요일,충북북부지사,2021-01-06,기타,충북 충주시 교현동,가스없음
24,N-2021-0022,강원영동지사,2021-01-06,수요일,강원영동지사,2021-01-06,소방서,강원 강릉시 지변동,프로판
25,N-2021-0021,대구광역본부,2021-01-06,수요일,대구광역본부,2021-01-06,사용자,경북 경산시 진량읍 신상리,암모니아
26,N-2021-0029,본사,2021-01-07,목요일,부산북부지사,2021-01-07,사용자,부산 연제구 연산동,LNG
27,N-2021-0028,전남동부지사,2021-01-07,목요일,전남동부지사,2021-01-07,소방서,전남 여수시 관문동,가스없음
28,N-2021-0027,본사,2021-01-07,목요일,서울동부지사,2021-01-06,소방서,서울 중랑구 망우동,LNG
29,N-2021-0026,본사,2021-01-07,목요일,서울광역본부,2021-01-07,사용자,서울 강남구 논현동,LNG
30,N-2021-0040,본사,2021-01-08,금요일,서울동부지사,2021-01-08,사용자,서울 도봉구 도봉동,LNG
31,N-2021-0039,본사,2021-01-08,금요일,서울광역본부,2021-01-08,사용자,서울 서초구 서초동,LNG
32,N-2021-0038,본사,2021-01-08,금요일,제주본부,2021-01-08,사용자,제주 제주시 이호이동,프로판
33,N-2021-0037,경기중부지사,2021-01-08,금요일,경기중부지사,2021-01-08,소방서,경기 김포시 하성면 봉성리,가스없음
34,N-2021-0036,본사,2021-01-08,금요일,부산북부지사,2021-01-08,사용자,부산 금정구 장전동,LNG
35,N-2021-0035,강원영동지사,2021-01-08,금요일,강원영동지사,2021-01-08,소방서,강원 강릉시 회산동,가스없음
36,N-2021-0034,본사,2021-01-08,금요일,광주광역본부,2021-01-08,사용자,광주 광산구 선암동,LNG
37,N-2021-0033,본사,2021-01-08,금요일,서울광역본부,2021-01-08,기타,서울 송파구 문정동,LNG
38,N-2021-0032,본사,2021-01-08,금요일,경북동부지사,2021-01-08,소방서,경북 포항시 남구 효자동,가스없음
39,N-2021-0031,본사,2021-01-08,금요일,대구광역본부,2021-01-08,행정관청,경북 고령군 쌍림면 합가리,프로판
40,N-2021-0030,본사,2021-01-08,금요일,전북본부,2021-01-08,소방서,전북 전주시 완산구 평화동2가,가스없음
41,N-2021-0055,본사,2021-01-09,토요일,경기광역본부,2021-01-09,소방서,경기 안산시 상록구 일동,LNG
42,N-2021-0054,본사,2021-01-09,토요일,서울동부지사,2021-01-09,사용자,서울 강북구 우이동,LNG
43,N-2021-0053,본사,2021-01-09,토요일,전남동부지사,2021-01-09,소방서,전남 여수시 적량동,수소
44,N-2021-0052,본사,2021-01-09,토요일,강원광역본부,2021-01-09,사용자,강원 춘천시 소양로2가,LNG
45,N-2021-0051,본사,2021-01-09,토요일,강원영동지사,2021-01-09,사용자,강원 태백시 동점동,기타
46,N-2021-0050,본사,2021-01-09,토요일,서울남부지사,2021-01-09,지역주민,서울 동작구 흑석동,LNG
47,N-2021-0049,본사,2021-01-09,토요일,전북본부,2021-01-09,소방서,전북 완주군 비봉면 봉산리,프로판+부탄
48,N-2021-0048,본사,2021-01-09,토요일,대구광역본부,2021-01-09,행정관청,대구 동구 신암동,프로판
49,N-2021-0047,본사,2021-01-09,토요일,경북동부지사,2021-01-09,행정관청,경북 경주시 산내면 대현리,부탄
50,N-2021-0046,본사,2021-01-09,토요일,강원광역본부,2021-01-09,소방서,강원 영월군 영월읍 영흥리,프로판
51,N-2021-0045,본사,2021-01-09,토요일,전북본부,2021-01-09,사용자,전북 전주시 덕진구 장동,LNG
52,N-2021-0044,본사,2021-01-09,토요일,부산광역본부,2021-01-09,인터넷,부산 수영구 광안동,가스없음
53,N-2021-0043,본사,2021-01-09,토요일,대구광역본부,2021-01-09,소방서,대구 달서구 본리동,LNG
54,N-2021-0042,본사,2021-01-09,토요일,서울광역본부,2021-01-09,경찰서,서울 서초구 잠원동,LNG
55,N-2021-0041,본사,2021-01-09,토요일,서울남부지사,2021-01-09,사용자,서울 강서구 염창동,LNG
56,N-2021-0061,본사,2021-01-10,일요일,전남동부지사,2021-01-10,사용자,전남 여수시 관문동,가스없음
57,N-2021-0060,본사,2021-01-10,일요일,경기중부지사,2021-01-10,소방서,경기 김포시 대곶면 대능리,가스없음
58,N-2021-0059,본사,2021-01-10,일요일,제주본부,2021-01-10,소방서,제주 제주시 노형동,프로판
59,N-2021-0058,본사,2021-01-10,일요일,강원광역본부,2021-01-10,사용자,강원 춘천시 후평동,LNG
60,N-2021-0057,본사,2021-01-10,일요일,강원영동지사,2021-01-10,사용자,강원 강릉시 교동,일산화탄소
61,N-2021-0056,본사,2021-01-10,일요일,서울광역본부,2021-01-10,사용자,서울 강동구 암사동,LNG
62,N-2021-0067,본사,2021-01-11,월요일,서울남부지사,2021-01-11,지역주민,서울 금천구 독산동,LNG
63,N-2021-0066,본사,2021-01-11,월요일,인천본부,2021-01-11,사용자,인천 남동구 장수동,LNG
64,N-2021-0065,본사,2021-01-11,월요일,인천본부,2021-01-11,사용자,인천 남구 주안동,LNG
65,N-2021-0064,대전광역본부,2021-01-11,월요일,대전광역본부,2021-01-11,사용자,충남 보령시 대천동,부탄
66,N-2021-0063,본사,2021-01-11,월요일,경기광역본부,2021-01-11,사용자,경기 화성시 마도면 청원리,가스없음
67,N-2021-0062,본사,2021-01-11,월요일,대전광역본부,2021-01-11,소방서,충남 논산시 연무읍 동산리,부탄
68,N-2021-0079,본사,2021-01-12,화요일,부산광역본부,2021-01-12,사용자,부산 남구 용호동,LNG
69,N-2021-0078,본사,2021-01-12,화요일,서울광역본부,2021-01-12,사용자,서울 강남구 대치동,LNG
70,N-2021-0077,본사,2021-01-12,화요일,제주본부,2021-01-12,소방서,제주 서귀포시 하효동,프로판
71,N-2021-0076,본사,2021-01-12,화요일,대전광역본부,2021-01-12,사용자,충남 연기군 조치원읍 신흥리 ,LNG
72,N-2021-0075,강원광역본부,2021-01-12,화요일,강원광역본부,2021-01-12,사용자,강원 홍천군 홍천읍 연봉리,LNG
73,N-2021-0074,본사,2021-01-12,화요일,경기서부지사,2021-01-12,기타,경기 광명시 일직동,LNG
74,N-2021-0073,대전광역본부,2021-01-12,화요일,대전광역본부,2021-01-12,사용자,대전 서구 탄방동,LNG
75,N-2021-0072,본사,2021-01-12,화요일,광주광역본부,2021-01-12,사용자,광주 동구 소태동,LNG
76,N-2021-0071,서울동부지사,2021-01-12,화요일,서울동부지사,2021-01-12,사용자,서울 성북구 성북동,LNG
77,N-2021-0070,본사,2021-01-12,화요일,경기서부지사,2021-01-12,사용자,경기 시흥시 능곡동,LNG
78,N-2021-0069,강원광역본부,2021-01-12,화요일,강원광역본부,2021-01-12,기타,강원 춘천시 퇴계동 ,부탄
79,N-2021-0068,본사,2021-01-12,화요일,경기광역본부,2021-01-12,사용자,경기 평택시 안중읍 현화리,LNG
80,N-2021-0090,본사,2021-01-13,수요일,부산북부지사,2021-01-13,사용자,부산 금정구 청룡동,LNG
81,N-2021-0089,본사,2021-01-13,수요일,경기북부지사,2021-01-13,사용자,경기 의정부시 민락동,LNG
82,N-2021-0088,본사,2021-01-13,수요일,서울남부지사,2021-01-13,사용자,서울 구로구 오류동,LNG
83,N-2021-0087,본사,2021-01-13,수요일,서울광역본부,2021-01-13,사용자,서울 강동구 암사동,LNG
84,N-2021-0086,본사,2021-01-13,수요일,경기광역본부,2021-01-13,사용자,경기 수원시 영통구 매탄동,LNG
85,N-2021-0085,충북본부,2021-01-13,수요일,충북본부,2021-01-13,소방서,충북 청주시 흥덕구 강서동,LNG
86,N-2021-0084,본사,2021-01-13,수요일,서울서부지사,2021-01-13,지역주민,서울 중구 신당동,가스없음
87,N-2021-0083,본사,2021-01-13,수요일,인천본부,2021-01-09,경찰서,인천 남동구 논현동,LNG
88,N-2021-0082,본사,2021-01-13,수요일,전북본부,2021-01-13,사용자,전북 전주시 덕진구 우아동1가,LNG
89,N-2021-0081,본사,2021-01-13,수요일,서울남부지사,2021-01-13,사용자,서울 강서구 염창동,LNG
90,N-2021-0080,본사,2021-01-13,수요일,대구광역본부,2021-01-13,소방서,대구 남구 대명동,가스없음
91,N-2021-0105,본사,2021-01-14,목요일,대구광역본부,2021-01-14,사용자,경북 경산시 진량읍 선화리,가스없음
92,N-2021-0104,본사,2021-01-14,목요일,부산북부지사,2021-01-14,사용자,부산 해운대구 송정동,LNG
93,N-2021-0103,본사,2021-01-14,목요일,광주광역본부,2021-01-14,소방서,전남 담양군 무정면 봉안리,기타
94,N-2021-0102,본사,2021-01-14,목요일,광주광역본부,2021-01-14,사용자,광주 광산구 우산동,가스없음
95,N-2021-0101,본사,2021-01-14,목요일,서울동부지사,2021-01-14,사용자,서울 광진구 구의동,LNG
96,N-2021-0100,대구광역본부,2021-01-14,목요일,대구광역본부,2021-01-13,인터넷,경북 성주군 월항면 장산리,프로판
97,N-2021-0099,본사,2021-01-14,목요일,경기동부지사,2021-01-14,소방서,경기 여주시 현암동,가스없음
98,N-2021-0098,강원영동지사,2021-01-14,목요일,강원영동지사,2021-01-14,소방서,강원 정선군 북평면 나전리,부탄
99,N-2021-0097,본사,2021-01-14,목요일,대구광역본부,2021-01-14,사용자,대구 달서구 호산동,기타
100,N-2021-0096,경기북부지사,2021-01-14,목요일,경기북부지사,2021-01-13,경찰서,경기 의정부시 민락동,LNG
101,N-2021-0095,본사,2021-01-14,목요일,인천본부,2021-01-14,사용자,인천 서구 청라동,LNG
102,N-2021-0094,강원영동지사,2021-01-14,목요일,강원영동지사,2021-01-14,소방서,강원 강릉시 주문진읍 교항리,프로판
103,N-2021-0093,본사,2021-01-14,목요일,강원광역본부,2021-01-14,사용자,강원 횡성군 안흥면 안흥리,프로판
104,N-2021-0092,본사,2021-01-14,목요일,서울동부지사,2021-01-13,경찰서,서울 동대문구 장한로10길,LNG
105,N-2021-0091,본사,2021-01-14,목요일,서울동부지사,2021-01-14,소방서,서울 동대문구 회기동,LNG
106,N-2021-0112,본사,2021-01-15,금요일,경기중부지사,2021-01-15,경찰서,경기 고양시 덕양구 삼송동,LNG
107,N-2021-0111,본사,2021-01-15,금요일,인천본부,2021-01-15,사용자,인천 부평구 부평동,LNG
108,N-2021-0110,본사,2021-01-15,금요일,강원영동지사,2021-01-15,행정관청,강원 양양군 양양읍 송암리,프로판
109,N-2021-0109,본사,2021-01-15,금요일,광주광역본부,2021-01-15,소방서,광주 서구 양동,기타
110,N-2021-0108,본사,2021-01-15,금요일,부산광역본부,2021-01-15,사용자,부산 부산진구 전포동,LNG
111,N-2021-0107,본사,2021-01-15,금요일,서울동부지사,2021-01-15,사용자,서울 중랑구 면목동,LNG
112,N-2021-0106,본사,2021-01-15,금요일,서울동부지사,2021-01-14,경찰서,서울 노원구 상계동,프로판
113,N-2021-0119,본사,2021-01-16,토요일,충남본부,2021-01-16,소방서,충남 천안시 동남구 사직동,프로판
114,N-2021-0118,본사,2021-01-16,토요일,대전광역본부,2021-01-16,사용자,세종  어진동,LNG
115,N-2021-0117,본사,2021-01-16,토요일,서울서부지사,2021-01-16,사용자,서울 마포구 서교동,LNG
116,N-2021-0116,본사,2021-01-16,토요일,충북본부,2021-01-16,사용자,충북 괴산군 장연면 방곡리,프로판
117,N-2021-0115,본사,2021-01-16,토요일,경기동부지사,2021-01-16,사용자,경기 광주시 탄벌동,LNG
118,N-2021-0114,본사,2021-01-16,토요일,대전광역본부,2021-01-16,소방서,대전 유성구 원내동,가스없음
119,N-2021-0113,본사,2021-01-16,토요일,경남본부,2021-01-16,사용자,경남 창원시 성산구 성주동,LNG
120,N-2021-0121,본사,2021-01-17,일요일,부산북부지사,2021-01-17,소방서,부산 해운대구 우동,프로판
121,N-2021-0120,본사,2021-01-17,일요일,경기동부지사,2021-01-16,소방서,경기 용인시 수지구 고기동,부탄
122,N-2021-0128,본사,2021-01-18,월요일,경기동부지사,2021-01-18,소방서,경기 광주시 곤지암읍 수양리,프로판
123,N-2021-0127,본사,2021-01-18,월요일,경기중부지사,2021-01-18,사용자,경기 김포시 풍무동,LNG
124,N-2021-0126,본사,2021-01-18,월요일,경기북부지사,2021-01-18,지역주민,경기 남양주시 오남읍 오남리,LNG
125,N-2021-0125,전남동부지사,2021-01-18,월요일,전남동부지사,2021-01-18,소방서,전남 순천시 덕월동,부탄
126,N-2021-0124,본사,2021-01-18,월요일,인천본부,2021-01-18,사용자,인천 계양구 계산동,LNG
127,N-2021-0123,본사,2021-01-18,월요일,서울동부지사,2021-01-18,사용자,서울 광진구 중곡동,LNG
128,N-2021-0122,본사,2021-01-18,월요일,인천본부,2021-01-18,소방서,인천 남동구 구월동,프로판
129,N-2021-0132,본사,2021-01-19,화요일,서울남부지사,2021-01-19,사용자,서울 금천구 시흥2동,가스없음
130,N-2021-0131,본사,2021-01-19,화요일,서울서부지사,2021-01-19,사용자,서울 용산구 이촌동,LNG
131,N-2021-0130,본사,2021-01-19,화요일,충북본부,2021-01-19,인터넷,충북 증평군 도안면 도당리,프로판
132,N-2021-0129,본사,2021-01-19,화요일,서울광역본부,2021-01-19,사용자,서울 송파구 문정동,프로판
133,N-2021-0133,본사,2021-01-20,수요일,대전광역본부,2021-01-20,사용자,세종  고운동,LNG
134,N-2021-0138,본사,2021-01-21,목요일,충남본부,2021-01-21,소방서,충남 당진시 송악읍 기지시리,LNG
135,N-2021-0137,본사,2021-01-21,목요일,서울동부지사,2021-01-21,소방서,서울 성북구 장위동,기타
136,N-2021-0136,충북북부지사,2021-01-21,목요일,충북북부지사,2021-01-21,행정관청,충북 충주시 금가면 도촌리,기타
137,N-2021-0135,본사,2021-01-21,목요일,부산북부지사,2021-01-21,지역주민,부산 동래구 안락2동,프로판
138,N-2021-0134,본사,2021-01-21,목요일,대전광역본부,2021-01-21,소방서,대전 대덕구 문평동,기타
139,N-2021-0146,본사,2021-01-22,금요일,대구광역본부,2021-01-22,공급자,대구 중구 동성로1가,가스없음
140,N-2021-0145,본사,2021-01-22,금요일,경기북부지사,2021-01-22,행인,경기 의정부시 의정부동,가스없음
141,N-2021-0144,본사,2021-01-22,금요일,전남서부지사,2021-01-22,사용자,전남 완도군 완도읍 군내리,프로판
142,N-2021-0143,본사,2021-01-22,금요일,광주광역본부,2021-01-22,사용자,광주 광산구 우산동,LNG
143,N-2021-0142,경남본부,2021-01-22,금요일,경남본부,2021-01-20,기타,경남 창원시 마산합포구 산호동로 12,프로판
144,N-2021-0141,본사,2021-01-22,금요일,경기광역본부,2021-01-22,사용자,경기 과천시 과천동,LNG
145,N-2021-0140,본사,2021-01-22,금요일,서울광역본부,2021-01-22,사용자,서울 강남구 역삼동,프로판
146,N-2021-0139,본사,2021-01-22,금요일,서울남부지사,2021-01-22,경찰서,서울 양천구 중앙로 345,프로판
147,N-2021-0149,본사,2021-01-23,토요일,경기북부지사,2021-01-23,사용자,경기 포천시 창수면 고소성리,가스없음
148,N-2021-0148,본사,2021-01-23,토요일,대구광역본부,2021-01-23,사용자,대구 달서구 상인동,가스없음
149,N-2021-0147,본사,2021-01-23,토요일,서울서부지사,2021-01-23,소방서,서울 서대문구 홍은동,기타
150,N-2021-0152,본사,2021-01-24,일요일,서울남부지사,2021-01-24,사용자,서울 금천구 독산동,가스없음
151,N-2021-0151,본사,2021-01-24,일요일,경기광역본부,2021-01-24,사용자,경기 평택시 현덕면 기산리,프로판
152,N-2021-0150,본사,2021-01-24,일요일,전남동부지사,2021-01-24,사용자,전남 순천시 해룡면 복성리,프로판
153,N-2021-0157,본사,2021-01-25,월요일,경남서부지사,2021-01-25,소방서,경남 사천시 동금동,프로판
154,N-2021-0156,본사,2021-01-25,월요일,대구광역본부,2021-01-25,경찰서,경북 영천시 금호읍 교대리,LNG
155,N-2021-0155,본사,2021-01-25,월요일,서울광역본부,2021-01-25,사용자,서울 서초구 양재동,LNG
156,N-2021-0154,본사,2021-01-25,월요일,경북동부지사,2021-01-25,행정관청,경북 포항시 남구 대송면 옥명리,프로판
157,N-2021-0153,본사,2021-01-25,월요일,광주광역본부,2021-01-25,사용자,광주 서구 치평동,LNG
158,N-2021-0164,본사,2021-01-26,화요일,대구광역본부,2021-01-26,소방서,경북 경산시 중산동,가스없음
159,N-2021-0163,본사,2021-01-26,화요일,경기동부지사,2021-01-26,소방서,경기 여주군 대신면 천서리,프로판+부탄
160,N-2021-0162,본사,2021-01-26,화요일,서울남부지사,2021-01-26,사용자,서울 영등포구 영중로10길 35,가스없음
161,N-2021-0161,본사,2021-01-26,화요일,서울광역본부,2021-01-26,사용자,서울 강남구 대치동,프로판
162,N-2021-0160,본사,2021-01-26,화요일,경기광역본부,2021-01-26,사용자,경기 수원시 권선구 곡반정동,LNG
163,N-2021-0159,본사,2021-01-26,화요일,경기북부지사,2021-01-20,소방서,경기 포천시 가산면 가산리,프로판
164,N-2021-0158,본사,2021-01-26,화요일,울산본부,2021-01-26,소방서,울산 북구 매곡동,LNG
165,N-2021-0171,본사,2021-01-27,수요일,서울서부지사,2021-01-27,사용자,서울 은평구 대조동,프로판
166,N-2021-0170,본사,2021-01-27,수요일,서울서부지사,2021-01-27,지역주민,서울 용산구 용산동2가,LNG
167,N-2021-0169,충남본부,2021-01-27,수요일,충남본부,2021-01-27,소방서,충남 천안시 서북구 입장면 하장리,LNG
168,N-2021-0168,본사,2021-01-27,수요일,경기동부지사,2021-01-26,사용자,경기 용인시 기흥구 영덕동,부탄
169,N-2021-0167,본사,2021-01-27,수요일,경기동부지사,2021-01-27,사용자,경기 성남시 분당구 운중동,LNG
170,N-2021-0166,부산북부지사,2021-01-27,수요일,부산북부지사,2021-01-27,사용자,부산 연제구 거제1동 월드메르디앙,LNG
171,N-2021-0165,본사,2021-01-27,수요일,경기광역본부,2021-01-27,사용자,경기 평택시 안중읍 현화리,LNG
172,N-2021-0177,본사,2021-01-28,목요일,광주광역본부,2021-01-28,경찰서,광주 남구 주월동,기타
173,N-2021-0176,본사,2021-01-28,목요일,부산광역본부,2021-01-28,사용자,부산 수영구 망미동,LNG
174,N-2021-0175,경기서부지사,2021-01-28,목요일,경기서부지사,2021-01-28,사용자,경기 시흥시 대야동,LNG
175,N-2021-0174,본사,2021-01-28,목요일,서울광역본부,2021-01-28,사용자,서울 강남구 언주로 423,가스없음
176,N-2021-0173,본사,2021-01-28,목요일,대전광역본부,2021-01-28,사용자,대전 동구 용운동,LNG
177,N-2021-0172,본사,2021-01-28,목요일,광주광역본부,2021-01-28,사용자,광주 동구 지산동,가스없음
178,N-2021-0180,본사,2021-01-29,금요일,대구광역본부,2021-01-29,인터넷,경북 구미시 산동면 봉산리,기타
179,N-2021-0179,본사,2021-01-29,금요일,서울동부지사,2021-01-29,경찰서,서울 동대문구 회기동,LNG
180,N-2021-0178,본사,2021-01-29,금요일,충북북부지사,2021-01-29,소방서,충북 음성군 대소면 오산리,부탄
181,N-2021-0185,본사,2021-01-30,토요일,인천본부,2021-01-30,지역주민,인천 서구 석남동,프로판
182,N-2021-0184,본사,2021-01-30,토요일,부산북부지사,2021-01-30,사용자,부산 기장군 기장읍 대라리,가스없음
183,N-2021-0183,본사,2021-01-30,토요일,부산광역본부,2021-01-30,소방서,부산 사상구 덕포동,프로판
184,N-2021-0182,본사,2021-01-30,토요일,서울남부지사,2021-01-30,기타,서울 영등포구 신길동,LNG
185,N-2021-0181,본사,2021-01-30,토요일,충남본부,2021-01-30,소방서,충남 천안시 서북구 성정동,가스없음
186,N-2021-0189,본사,2021-01-31,일요일,서울동부지사,2021-01-31,사용자,서울 광진구 광장동,LNG
187,N-2021-0188,본사,2021-01-31,일요일,경기광역본부,2021-01-31,경찰서,경기 의왕시 내손1동,LNG
188,N-2021-0187,본사,2021-01-31,일요일,서울서부지사,2021-01-31,사용자,서울 종로구 동숭동,LNG
189,N-2021-0186,본사,2021-01-31,일요일,충남본부,2021-01-31,사용자,충남 홍성군 금마면 죽림리,가스없음
190,N-2021-0194,본사,2021-02-01,월요일,경남본부,2021-02-01,경찰서,경남 창원시 마산합포구 산호동,프로판
191,N-2021-0193,대구광역본부,2021-02-01,월요일,대구광역본부,2021-02-01,소방서,대구 동구 방촌동,LNG
192,N-2021-0192,대구광역본부,2021-02-01,월요일,대구광역본부,2021-02-01,지역주민,대구 북구 산격동,기타
193,N-2021-0191,본사,2021-02-01,월요일,경기북부지사,2021-02-01,사용자,경기 가평군 청평면 청평리,프로판
194,N-2021-0190,경북동부지사,2021-02-01,월요일,경북동부지사,2021-01-29,공급자,경북 울진군 후포면 후포리,기타
195,N-2021-0199,본사,2021-02-02,화요일,서울동부지사,2021-02-02,사용자,서울 도봉구 쌍문동,LNG
196,N-2021-0198,본사,2021-02-02,화요일,울산본부,2021-02-02,소방서,울산 울주군 온양읍 대안리,LNG
197,N-2021-0197,본사,2021-02-02,화요일,경기동부지사,2021-02-02,사용자,경기 성남시 분당구 수내동,LNG
198,N-2021-0196,본사,2021-02-02,화요일,경남본부,2021-02-02,소방서,경남 의령군 의령읍 정암리,프로판
199,N-2021-0195,본사,2021-02-02,화요일,서울남부지사,2021-02-02,사용자,서울 관악구 인헌동,LNG
200,N-2021-0201,본사,2021-02-03,수요일,광주광역본부,2021-02-03,사용자,전남 나주시 이창동,프로판
201,N-2021-0200,본사,2021-02-03,수요일,인천본부,2021-02-03,소방서,인천 서구 가정동,LNG
202,N-2021-0207,본사,2021-02-04,목요일,서울남부지사,2021-02-04,사용자,서울 강서구 화곡동,LNG
203,N-2021-0206,본사,2021-02-04,목요일,서울남부지사,2021-02-04,사용자,서울 강서구 내발산동,LNG
204,N-2021-0205,본사,2021-02-04,목요일,대전광역본부,2021-02-04,사용자,대전 중구 유천동,프로판
205,N-2021-0204,본사,2021-02-04,목요일,서울서부지사,2021-02-04,사용자,서울 은평구 증산동,LNG
206,N-2021-0203,본사,2021-02-04,목요일,전남서부지사,2021-02-04,경찰서,전남 영암군 삼호읍 용앙리,LNG
207,N-2021-0202,부산광역본부,2021-02-04,목요일,부산광역본부,2021-02-04,사용자,부산 사하구 괴정동,LNG
208,N-2021-0215,본사,2021-02-05,금요일,서울서부지사,2021-02-05,기타,서울 용산구 한남동,LNG
209,N-2021-0214,본사,2021-02-05,금요일,경남서부지사,2021-02-05,사용자,경남 진주시 가좌동,LNG
210,N-2021-0213,본사,2021-02-05,금요일,서울남부지사,2021-02-05,사용자,서울 금천구 독산동,LNG
211,N-2021-0212,본사,2021-02-05,금요일,부산북부지사,2021-02-05,사용자,부산 동래구 온천동,LNG
212,N-2021-0211,본사,2021-02-05,금요일,광주광역본부,2021-02-05,사용자,광주 북구 오치동,LNG
213,N-2021-0210,본사,2021-02-05,금요일,서울서부지사,2021-02-05,사용자,서울 용산구 한남동,LNG
214,N-2021-0209,본사,2021-02-05,금요일,대전광역본부,2021-02-05,소방서,대전 유성구 궁동,LNG
215,N-2021-0208,본사,2021-02-05,금요일,경기동부지사,2021-02-05,사용자,경기 성남시 분당구 금곡동,가스없음
216,N-2021-0220,본사,2021-02-06,토요일,경북동부지사,2021-02-06,소방서,경북 포항시 북구 청하면 하대리,가스없음
217,N-2021-0219,본사,2021-02-06,토요일,경기광역본부,2021-02-06,사용자,경기 평택시 청북면 옥길리,LNG
218,N-2021-0218,본사,2021-02-06,토요일,경북동부지사,2021-02-06,소방서,경북 포항시 북구 양덕동,LNG
219,N-2021-0217,본사,2021-02-06,토요일,경기서부지사,2021-02-06,사용자,경기 시흥시 조남동,기타
220,N-2021-0216,본사,2021-02-06,토요일,대전광역본부,2021-02-06,소방서,대전 서구 갈마동,LNG
221,N-2021-0225,본사,2021-02-07,일요일,충북본부,2021-02-07,사용자,충북 청주시 상당구 내덕동,LNG
222,N-2021-0224,본사,2021-02-07,일요일,강원영동지사,2021-02-07,소방서,강원 강릉시 송정동,가스없음
223,N-2021-0223,본사,2021-02-07,일요일,부산광역본부,2021-02-07,소방서,부산 부산진구 전포동,기타
224,N-2021-0222,본사,2021-02-07,일요일,대전광역본부,2021-02-07,사용자,대전 서구 관저동,부탄
225,N-2021-0221,본사,2021-02-07,일요일,부산북부지사,2021-02-07,경찰서,부산 해운대구 반송동,가스없음
226,N-2021-0229,경기광역본부,2021-02-08,월요일,경기광역본부,2021-02-08,사용자,경기 수원시 팔달구 인계동,기타
227,N-2021-0228,본사,2021-02-08,월요일,서울서부지사,2021-02-08,사용자,서울 마포구 노고산동,LNG
228,N-2021-0227,본사,2021-02-08,월요일,충북본부,2021-02-08,사용자,충북 청주시 상당구 사천동,LNG
229,N-2021-0226,본사,2021-02-08,월요일,전북본부,2021-02-07,인터넷,전북 임실군 임실읍 이도리,프로판
230,N-2021-0235,본사,2021-02-09,화요일,충북본부,2021-02-09,소방서,충북 청주시 상당구 석교동,프로판
231,N-2021-0234,본사,2021-02-09,화요일,경기동부지사,2021-02-09,소방서,경기 광주시 곤지암읍 오향리,프로판
232,N-2021-0233,본사,2021-02-09,화요일,대전광역본부,2021-02-09,사용자,대전 동구 삼성동,LNG
233,N-2021-0232,본사,2021-02-09,화요일,경기동부지사,2021-02-09,사용자,경기 광주시 오포읍 신현리,프로판
234,N-2021-0231,본사,2021-02-09,화요일,서울광역본부,2021-02-09,사용자,서울 송파구 송파동,LNG
